,aparelho,marca,modelo,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Precos
0,Smartphone,Samsung,Galaxy,A15,"6,5""",128GB,Verde,Claro,4G,4GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,899.1
1,Smartphone,Samsung,Galaxy,A05s,"6,7""",128GB,Preto,6GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,Bateria,5000mAh,Dual,Chip,,,719.1
2,Smartphone,Samsung,Galaxy,A05,128GB,Preto,4G,Octa-Core,4GB,RAM,"6,7”",Câm.,Dupla,+,Selfie,8MP,,,,,,710.1
3,Smartphone,Samsung,Galaxy,A15,"6,5""",256GB,Azul,Escuro,5G,8GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,1104.15
4,Smartphone,Motorola,Moto,G24,128GB,Rosa,4GB,+,4GB,RAM,Boost,"6,6""",Câm.,Dupla,+,Selfie,8MP,Dual,Chip,,,699.0
5,Smartphone,Samsung,Galaxy,S23,256GB,Preto,5G,8GB,RAM,"6,1”",Câm,Tripla,+,Selfie,12MP,,,,,,,2999.0
6,Smartphone,Motorola,Moto,G34,128GB,Azul,5G,4GB,+,4GB,RAM,Boost,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,799.0
7,iPhone,12,Apple,64GB,Preto,Tela,"6,1”",12MP,iOS,,,,,,,,,,,,,2699.1
8,Apple,iPhone,13,128GB,Estelar,Tela,"6,1”",12MP,,,,,,,,,,,,,,3599.1
9,Samsung,Galaxy,S23,FE,5G,Smartphone,Android,128GB,Grafite,,,,,,,,,,,,,2474.1
10,Smartphone,Samsung,Galaxy,A35,128GB,Rosa,5G,6GB,RAM,"6,6""",Câm.,Tripla,+,Selfie,13MP,Dual,Chip,,,,,1574.1
11,Smartphone,Motorola,Moto,G04s,128GB,Tela,"6,6",Câmera,50MP,Selfie,5MP,Dual,Chip,Android,14,,,,,,,700.74
12,Smartphone,Samsung,Galaxy,A55,256GB,Azul,Escuro,5G,8GB,RAM,"6,6""",Câm.,Tripla,+,Selfie,32MP,Dual,Chip,,,,2249.1
13,Smartphone,Motorola,Moto,G84,256GB,Azul,5G,Snapdragon,695,8GB,RAM,"6,55""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,1299.0
14,Smartphone,Motorola,Moto,G04s,128GB,Grafite,4GB,RAM,"6,6""",Câm,50MP,+,Selfie,5MP,Dual,Chip,,,,,,719.1
15,Smartphone,Motorola,Moto,G54,256GB,Azul,5G,8GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,,,1079.1
16,Apple,iPhone,14,128GB,Estelar,"6,1”",12MP,iOS,5G,,,,,,,,,,,,,4229.1
17,Smartphone,Motorola,Moto,g34,5G,-,256GB,16GB,Ram,Boost,AI,Camera,50MP,NFC,,,,,,,,976.65
18,Smartphone,Samsung,Galaxy,M55,256GB,5G,8GB,RAM,Azul,Escuro,Tela,"6,7""",Câm.,Tripla,+,Selfie,50MP,Dual,Chip,,,1709.1
19,Celular,Samsung,Galaxy,A55,"5G,",Câmera,Tripla,até,"50MP,",Tela,"6.6"",",256GB,,,,,,,,,,2109.0
20,Smartphone,Positivo,S650,Twist,5,Max,128GB,Chumbo,4G,Octa-Core,2GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,8MP,Dual,Chip,,449.1
21,Smartphone,Motorola,Moto,G54,256GB,Verde,5G,8GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,,,1079.1
22,iPhone,12,Apple,256GB,Roxo,Tela,"6,1”",12MP,iOS,,,,,,,,,,,,,4499.1
23,Celular,Simples,Lenoxx,CX904_PV,2G,Dual,Chip,32MB,Desbloqueado,,,,,,,,,,,,,88.11
24,Smartphone,Motorola,Moto,G04s,128GB,Tela,"6,6",Câmera,50MP,Selfie,5MP,Dual,Chip,Android,14,,,,,,,700.74
25,Smartphone,Samsung,Galaxy,A25,"6,5""",256GB,Azul,Escuro,5G,8GB,RAM,Câm,Tripla,50MP,+,Selfie,13MP,Bateria,5000mAh,Dual,Chip,1439.1
26,Smartphone,Motorola,Edge,40,Neo,256GB,Caneel,Bay,5G,8GB,RAM,"6,55""",Câm.,Dupla,+,Selfie,32MP,Dual,Chip,,,1599.0
27,Smartphone,Motorola,Edge,50,Fusion,256GB,Blue,Teal,5G,16GB,RAM,"6,7""",Câmera,Sony,Dupla,Selfie,32MP,Dual,Chip,,,2084.4
28,Smartphone,Motorola,Edge,50,Fusion,256GB,Pink,Vegan,Suede,5G,16GB,RAM,"6,7""",Câmera,Sony,Dupla,Selfie,32MP,Dual,Chip,,2084.4
29,Samsung,Galaxy,A15,128GB,4GB,RAM,Tela,"6.5""",Azul,Claro,,,,,,,,,,,,881.1
30,Smartphone,Motorola,Moto,G84,256GB,Grafite,5G,Tela,"6,55",Câmera,Dupla,50MP,Selfie,16MP,Android,13,,,,,,1371.48
31,Smartphone,Motorola,Moto,g24,Power,-,128GB,8GB,Ram,Boost,AI,Camera,50MP,6000,mAh,,,,,,,699.0
32,Smartphone,Motorola,Moto,g24,Power,-,128GB,8GB,Ram,Boost,AI,Camera,50MP,6000,mAh,,,,,,,699.0
33,Smartphone,Motorola,Moto,g04s,-,128GB,8,GB,Ram,Boost,AI,Camera,16MP,sensor,FPS,lateral,,,,,,636.65
34,Xiaomi,Redmi,Note,13,8GB,RAM,256GB,PRETO,,,,,,,,,,,,,,1287.08
35,Smartphone,Samsung,Galaxy,S23,Ultra,256GB,Preto,5G,12GB,RAM,"6,8”",Câm.,Quádrupla,+,Selfie,12MP,,,,,,4769.1
